iter	Accuracy	Logloss
0	0.8097754293	0.6750432198
1	0.8058124174	0.6593621264
2	0.8084544254	0.6449286776
3	0.8058124174	0.6288712611
4	0.7952443857	0.6208370412
5	0.8031704095	0.609130441
6	0.8071334214	0.5981735214
7	0.8071334214	0.5859986098
8	0.8071334214	0.5739596787
9	0.8150594452	0.5622750623
10	0.8110964333	0.5549151284
11	0.8124174373	0.5458732014
12	0.8137384412	0.5383841431
13	0.8137384412	0.5313678781
14	0.8137384412	0.525808799
15	0.8137384412	0.5201659311
16	0.8163804491	0.513437278
17	0.821664465	0.5075818863
18	0.821664465	0.5028058606
19	0.821664465	0.4984652734
20	0.820343461	0.4938366884
21	0.821664465	0.4900065149
22	0.8137384412	0.4878915993
23	0.8190224571	0.4799833554
24	0.820343461	0.4751944983
25	0.821664465	0.4713127137
26	0.821664465	0.4662963807
27	0.821664465	0.463637585
28	0.821664465	0.4604115398
29	0.8243064729	0.4570024834
30	0.821664465	0.4543144412
31	0.822985469	0.4508717174
32	0.822985469	0.4479661222
33	0.821664465	0.4476313692
34	0.820343461	0.4461529402
35	0.821664465	0.4454966333
36	0.820343461	0.443889213
37	0.821664465	0.4416086817
38	0.821664465	0.4412723524
39	0.820343461	0.4392406083
40	0.821664465	0.4370969638
41	0.822985469	0.4345509862
42	0.821664465	0.4328884473
43	0.822985469	0.4310170235
44	0.822985469	0.4308893663
45	0.822985469	0.4298784355
46	0.8269484808	0.4271540977
47	0.8256274769	0.4256925563
48	0.8295904888	0.4242617926
49	0.8322324967	0.4228326906
50	0.8309114927	0.4215405912
51	0.8348745046	0.4205555046
52	0.8348745046	0.4199519802
53	0.8348745046	0.4190365096
54	0.8335535007	0.4185725818
55	0.8322324967	0.4174714249
56	0.8309114927	0.4168967412
57	0.8322324967	0.415656796
58	0.8322324967	0.4146009674
59	0.8348745046	0.4133046589
60	0.8348745046	0.4124735335
61	0.8348745046	0.4118049379
62	0.8361955086	0.4097665604
63	0.8375165125	0.4088515365
64	0.8361955086	0.4082272772
65	0.8361955086	0.4076653801
66	0.8361955086	0.4072248118
67	0.8361955086	0.4063646909
68	0.8361955086	0.4057994332
69	0.8361955086	0.4052756955
70	0.8361955086	0.4047566215
71	0.8361955086	0.4034700676
72	0.8361955086	0.4022339575
73	0.8361955086	0.4017824488
74	0.8388375165	0.4009783182
75	0.8375165125	0.4004700109
76	0.8375165125	0.4004245763
77	0.8375165125	0.3997682523
78	0.8375165125	0.3994085778
79	0.8401585205	0.3988335345
80	0.8414795244	0.3986213464
81	0.8401585205	0.3982530559
82	0.8414795244	0.3974024123
83	0.8414795244	0.3970848154
84	0.8414795244	0.3970215314
85	0.8414795244	0.396659383
86	0.8441215324	0.3957117254
87	0.8441215324	0.3953427234
88	0.8441215324	0.3945820321
89	0.8441215324	0.3942273405
90	0.8441215324	0.3941999488
91	0.8467635403	0.3939206622
92	0.8467635403	0.3931610643
93	0.8480845443	0.3925391215
94	0.8480845443	0.392301422
95	0.8480845443	0.3922512021
96	0.8480845443	0.3918775881
97	0.8480845443	0.3916357281
98	0.8480845443	0.3915102477
99	0.8480845443	0.3904312265
100	0.8467635403	0.3898401445
101	0.8467635403	0.3895127257
102	0.8467635403	0.3888761968
103	0.8480845443	0.3887478883
104	0.8480845443	0.3881255522
105	0.8480845443	0.388123226
106	0.8480845443	0.3872708856
107	0.8480845443	0.3868266904
108	0.8480845443	0.3859762122
109	0.8480845443	0.3853329437
110	0.8467635403	0.3849677316
111	0.8467635403	0.3849662592
112	0.8480845443	0.3843998048
113	0.8480845443	0.3841038149
114	0.8480845443	0.3834563507
115	0.8494055482	0.3827515583
116	0.8467635403	0.382177754
117	0.8467635403	0.3819255564
118	0.8467635403	0.3814835714
119	0.8480845443	0.3810512093
120	0.8480845443	0.3803831465
121	0.8494055482	0.380135407
122	0.8494055482	0.3798331646
123	0.8507265522	0.3797898369
124	0.8494055482	0.3791072348
125	0.8507265522	0.3789984972
126	0.8494055482	0.3789980438
127	0.8520475561	0.3787495241
128	0.8507265522	0.3785107359
129	0.8494055482	0.3780684694
130	0.8494055482	0.377959334
131	0.8494055482	0.3779334259
132	0.8494055482	0.3779301247
133	0.8520475561	0.3777435069
134	0.8520475561	0.37763982
135	0.8507265522	0.3769161368
136	0.8507265522	0.3767535659
137	0.8507265522	0.3764239142
138	0.8507265522	0.3763721334
139	0.8507265522	0.3760069473
140	0.8494055482	0.3752758944
141	0.8467635403	0.374749455
142	0.8467635403	0.3743207766
143	0.8494055482	0.3734831787
144	0.8494055482	0.3728131489
145	0.8494055482	0.3724353583
146	0.8480845443	0.3720459048
147	0.8467635403	0.3715039905
148	0.8494055482	0.3708861886
149	0.8494055482	0.3707471664
150	0.8494055482	0.3707259918
151	0.8507265522	0.3704689837
152	0.8494055482	0.3704610574
153	0.8494055482	0.3704234923
154	0.8480845443	0.3701981348
155	0.8507265522	0.3698708578
156	0.8507265522	0.3697021135
157	0.8507265522	0.369280796
158	0.8520475561	0.3691431183
159	0.8520475561	0.369143117
160	0.8520475561	0.3682843692
161	0.8520475561	0.3681638049
162	0.8520475561	0.3678423936
163	0.8533685601	0.3677520923
164	0.8533685601	0.3674834149
165	0.8533685601	0.3672986629
166	0.8533685601	0.3671745089
167	0.8533685601	0.3670702801
168	0.8533685601	0.36707028
169	0.8533685601	0.3666105094
170	0.8546895641	0.3664721858
171	0.8546895641	0.3663941577
172	0.8546895641	0.3663344614
173	0.8546895641	0.3663321235
174	0.8546895641	0.3661874834
175	0.8546895641	0.3660316422
176	0.8546895641	0.3660289495
177	0.8546895641	0.3657185434
178	0.8546895641	0.3653795585
179	0.856010568	0.3650636542
180	0.856010568	0.3640669706
181	0.8546895641	0.3637207973
182	0.8546895641	0.3637080411
183	0.8546895641	0.3636756984
184	0.856010568	0.3631276904
185	0.858652576	0.3620928844
186	0.858652576	0.3620914711
187	0.8599735799	0.3619787476
188	0.858652576	0.3618496485
189	0.858652576	0.3617420885
190	0.858652576	0.3616294743
191	0.8599735799	0.3609983953
192	0.8599735799	0.3607566323
193	0.8599735799	0.3607100571
194	0.8599735799	0.3599385533
195	0.8599735799	0.3597220395
196	0.8599735799	0.3591683089
197	0.8599735799	0.3590361136
198	0.8599735799	0.3590143378
199	0.8599735799	0.3587573422
200	0.8599735799	0.3586711763
201	0.8599735799	0.3585948097
202	0.8599735799	0.3582589743
203	0.8599735799	0.3582053673
204	0.858652576	0.3578500235
205	0.858652576	0.3578034474
206	0.858652576	0.3577949524
207	0.858652576	0.357537033
208	0.858652576	0.3574307581
209	0.8599735799	0.3568060163
210	0.8599735799	0.3567062238
211	0.8612945839	0.3562139961
212	0.8612945839	0.3562100711
213	0.8612945839	0.355881739
214	0.8599735799	0.3558238836
215	0.8599735799	0.355770535
216	0.8599735799	0.3556893337
217	0.8599735799	0.3556893303
218	0.8599735799	0.3556734398
219	0.8599735799	0.3556604334
220	0.8626155878	0.3550204245
221	0.8626155878	0.3546543684
222	0.8626155878	0.3544762329
