iter	Passed	Remaining
0	53	53480
1	55	27704
2	56	18891
3	59	14804
4	61	12147
5	63	10512
6	64	9199
7	68	8460
8	71	7852
9	90	8918
10	98	8822
11	111	9206
12	114	8670
13	116	8209
14	117	7726
15	120	7427
16	137	7951
17	143	7845
18	145	7519
19	147	7249
20	151	7049
21	158	7060
22	169	7194
23	175	7137
24	196	7653
25	211	7909
26	214	7717
27	215	7485
28	217	7296
29	220	7122
30	237	7410
31	239	7236
32	241	7073
33	242	6892
34	243	6716
35	258	6934
36	260	6774
37	262	6645
38	263	6490
39	265	6378
40	268	6271
41	269	6154
42	272	6054
43	285	6200
44	286	6075
45	288	5981
46	290	5892
47	292	5804
48	305	5934
49	308	5860
50	323	6020
51	325	5936
52	327	5854
53	329	5778
54	331	5703
55	334	5631
56	345	5717
57	356	5791
58	362	5787
59	365	5720
60	367	5661
61	378	5727
62	380	5666
63	382	5598
64	385	5541
65	387	5483
66	390	5444
67	404	5547
68	411	5552
69	415	5515
70	424	5559
71	431	5559
72	433	5506
73	436	5456
74	437	5400
75	440	5357
76	444	5331
77	457	5405
78	474	5532
79	487	5605
80	493	5599
81	500	5605
82	502	5556
83	505	5508
84	506	5449
85	508	5401
86	523	5490
87	525	5445
88	527	5401
89	531	5372
90	532	5321
91	534	5276
92	536	5236
93	556	5361
94	558	5317
95	565	5325
96	567	5286
97	571	5261
98	573	5221
99	576	5186
100	578	5153
101	581	5119
102	600	5232
103	602	5193
104	605	5158
105	606	5111
106	608	5075
107	610	5039
108	624	5104
109	626	5072
110	629	5039
111	630	4996
112	632	4965
113	635	4942
114	638	4910
115	640	4882
116	642	4851
117	645	4822
118	647	4790
119	649	4765
120	652	4739
121	654	4709
122	659	4704
123	661	4675
124	663	4646
125	664	4612
126	665	4577
127	680	4633
128	682	4606
129	684	4577
130	685	4550
131	687	4519
132	688	4485
133	689	4459
134	697	4469
135	700	4448
136	702	4423
137	703	4397
138	705	4369
139	707	4347
140	724	4411
141	732	4428
142	737	4419
143	739	4397
144	741	4372
145	744	4352
146	760	4412
147	763	4392
148	765	4373
149	768	4354
150	769	4327
151	772	4310
152	774	4285
153	775	4259
154	777	4238
155	780	4225
156	800	4300
157	822	4383
158	827	4374
159	828	4347
160	830	4330
161	832	4306
162	844	4334
163	846	4315
164	850	4302
165	857	4306
166	863	4308
167	865	4287
168	867	4265
169	869	4246
170	872	4228
171	874	4207
172	875	4186
173	876	4162
174	879	4144
175	892	4178
176	897	4172
177	900	4157
178	905	4154
179	908	4136
180	909	4117
181	929	4179
182	931	4157
183	932	4134
184	940	4144
185	943	4127
186	950	4130
187	952	4111
188	954	4094
189	961	4099
190	964	4083
191	965	4065
192	980	4098
193	982	4083
194	985	4068
195	988	4053
196	992	4043
197	994	4026
198	996	4009
199	998	3995
200	1001	3979
201	1002	3960
202	1004	3943
203	1015	3960
204	1023	3968
205	1035	3990
206	1036	3970
207	1038	3954
208	1041	3940
209	1056	3973
210	1058	3959
211	1061	3944
212	1062	3926
