iter	Passed	Remaining
0	89	89153
1	91	45594
2	92	30801
3	95	23780
4	96	19185
5	98	16393
6	100	14253
7	102	12721
8	104	11543
9	122	12099
10	123	11089
11	125	10326
12	130	9885
13	132	9329
14	133	8769
15	135	8343
16	150	8682
17	152	8315
18	154	7955
19	156	7662
20	158	7388
21	160	7126
22	161	6847
23	163	6656
24	166	6477
25	168	6310
26	170	6159
27	172	5979
28	174	5838
29	176	5712
30	178	5590
31	181	5475
32	193	5658
33	194	5527
34	195	5394
35	197	5281
36	198	5166
37	200	5082
38	201	4971
39	215	5171
40	217	5094
41	219	5009
42	221	4933
43	223	4862
44	224	4768
45	226	4706
46	229	4647
47	231	4591
48	233	4533
49	236	4487
50	238	4439
51	240	4384
52	242	4330
53	244	4281
54	246	4237
55	248	4193
56	250	4148
57	252	4108
58	254	4062
59	257	4027
60	272	4193
61	275	4165
62	277	4131
63	279	4089
64	282	4058
65	284	4027
66	286	3996
67	290	3978
68	292	3944
69	294	3918
70	297	3892
71	300	3869
72	302	3842
73	305	3822
74	307	3792
75	310	3769
76	311	3734
77	313	3708
78	316	3684
79	318	3663
80	320	3634
81	322	3614
82	324	3590
83	327	3566
84	328	3533
85	330	3509
86	332	3492
87	335	3472
88	337	3452
89	339	3433
90	340	3403
91	356	3523
92	359	3505
93	361	3481
94	362	3457
95	364	3429
96	366	3409
97	368	3390
98	370	3369
99	372	3353
100	375	3339
101	377	3324
102	380	3314
103	382	3295
104	384	3281
105	385	3254
106	388	3238
107	390	3221
108	392	3208
109	394	3194
110	397	3181
111	398	3156
112	400	3144
113	403	3132
114	405	3118
115	420	3203
116	422	3188
117	424	3175
118	426	3161
119	429	3149
120	431	3136
121	434	3124
122	436	3114
123	438	3099
124	440	3084
125	441	3065
126	442	3044
127	444	3029
128	446	3016
129	448	3001
130	450	2988
131	451	2969
132	452	2949
133	454	2935
134	456	2923
135	467	2969
136	471	2967
137	472	2954
138	474	2937
139	476	2926
140	479	2918
141	481	2909
142	483	2898
143	485	2888
144	487	2876
145	489	2865
146	492	2855
147	507	2923
148	510	2914
149	512	2905
150	514	2890
151	515	2878
152	517	2862
153	518	2847
154	520	2837
155	522	2825
156	524	2815
157	526	2806
158	528	2796
159	529	2779
160	531	2768
161	533	2757
162	534	2747
163	536	2735
164	538	2726
165	541	2722
166	544	2718
167	546	2707
168	547	2692
169	549	2684
170	552	2677
171	554	2668
172	555	2654
173	556	2640
174	558	2631
175	559	2621
176	560	2607
177	563	2602
178	566	2596
179	568	2588
180	570	2580
181	572	2570
182	573	2558
183	574	2546
184	578	2549
185	580	2542
186	581	2529
187	583	2520
188	585	2512
189	587	2505
190	590	2499
191	592	2492
192	594	2484
193	597	2480
194	599	2474
195	601	2468
196	616	2514
197	618	2506
198	620	2499
199	623	2493
200	625	2486
201	627	2477
